vendor,model_scope,metric,availability,measurement_claim,source_id,notes
Garmin,Approach R10 and R50,total_distance,csv_export,not_established,garmin_csv_export,Export workflow documented; field presence varies
Rapsodo,MLM2PRO,carry_distance,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,total_distance,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,ball_speed,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,launch_angle,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,launch_direction,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,apex_height,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,lateral_carry,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Called side carry
Rapsodo,MLM2PRO,club_speed,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,smash_factor,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
Rapsodo,MLM2PRO,descent_angle,observed_in_public_excerpt,not_established,pblittle_rapsodo_example,Public gist header only; data not redistributed
SkyTrak,Unspecified,ball_speed,sample_advertised,not_established,rangedat_samples,Sample export advertised; license unresolved
SkyTrak,Unspecified,launch_angle,sample_advertised,not_established,rangedat_samples,Sample export advertised; license unresolved
SkyTrak,Unspecified,spin_rate,sample_advertised,not_established,rangedat_samples,Sample export advertised; license unresolved
Uneekor,Unspecified,ball_speed,profile_compatibility,not_established,rangedat_samples,UpstreamDrift profile exists; public licensed observations not located
Uneekor,Unspecified,launch_angle,profile_compatibility,not_established,rangedat_samples,UpstreamDrift profile exists; public licensed observations not located
Uneekor,Unspecified,spin_rate,profile_compatibility,not_established,rangedat_samples,UpstreamDrift profile exists; public licensed observations not located
